Base_id,Base1,Base2,Base3,Base4,WPL,Antifungal,Monsoon,Dirt,Efflorescence,Hiding,Gloss,Coverage,SP_ltr,Base_Type,Brand,Sub_Brand,Base
1001,100,0,0,0,1.335,4,3,3,3,1,1,45,124.5615582,Deep,,,
1002,0,100,0,0,1.313,5,3,3,3,1,1,45,131.6724394,Deep,,,
1003,0,0,100,0,1.293,5,4,4,3,1,1,45,138.5597231,Deep,,,
1004,0,0,0,100,1.283,5,4,4,4,1,2,45,141.922786,Deep,,,
1005,56,0,18,26,1.273,5,5,5,4,1,2,45,145.2337926,Deep,,,
1006,54,0,18,28,1.263,5,5,5,4,1,2,45,148.4939422,Deep,,,
1007,50,0,30,20,1.242,5,5,5,4,1,2,45,142.8032831,Mass,,,
1008,45,0,33,22,1.219,5,5,5,4,1,2,45,149.5343075,Mass,,,
1009,40,0,36,24,1.197,5,5,5,4,1,2,45,156.0188947,Mass,,,
1010,30,0,42,28,1.155,5,5,5,4,1,3,45,168.3009814,Mass,,,
1011,56,10,17,17,1.323,4,4,4,4,2,2,50,148.9725844,MId,,,
1012,52,10,19,19,1.302,5,5,5,4,2,2,50,155.1303055,MId,,,
1013,50,10,20,20,1.292,5,5,5,4,2,2,50,158.1363889,MId,,,
1014,48,10,21,21,1.282,5,5,5,4,2,2,45,161.0954715,MId,,,
1015,54,12,17,17,1.323,4,4,4,4,2,2,50,154.0080943,MId,,,
1016,50,12,19,19,1.302,5,5,5,4,2,2,50,160.0855501,MId,,,
1017,46,12,21,21,1.282,5,5,5,4,2,3,45,165.9729696,MId,,,
1018,52,14,17,17,1.323,4,4,4,4,2,3,50,159.0431273,MId,,,
1019,48,14,19,19,1.302,5,5,5,4,2,3,50,165.0403328,MId,,,
1020,46,14,20,20,1.292,5,5,5,4,2,3,45,167.9680622,MId,,,
1021,50,16,17,17,1.323,4,4,4,4,2,2,50,164.0776833,MId,,,
1023,46,16,19,19,1.302,5,5,5,4,2,2,45,169.9946536,MId,,,
1025,44,16,20,20,1.292,5,5,5,4,2,3,45,172.8832169,MId,,,
1026,42,16,21,21,1.281,5,5,5,4,2,3,45,175.7266229,MId,,,
1027,46,20,17,17,1.323,4,4,5,4,3,2,50,174.1453647,Pastel,,,
1028,42,20,19,19,1.302,5,5,5,5,3,2,50,179.9019099,Pastel,,,
1029,40,20,20,20,1.291,5,5,5,5,2,3,50,182.7121625,MId,,,
1030,38,20,21,21,1.281,5,5,5,5,2,3,50,185.4784863,MId,,,
1031,44,22,17,17,1.323,4,4,4,4,3,2,50,179.1784903,Pastel,,,
1032,40,22,19,19,1.302,5,5,5,5,3,2,50,184.8548454,Pastel,,,
1033,38,22,20,20,1.291,5,5,5,5,2,3,50,187.6259537,MId,,,
1034,36,22,21,21,1.281,5,5,5,5,2,3,50,190.353747,MId,,,
1035,42,24,17,17,1.323,4,5,4,4,3,3,50,184.2111392,Pastel,,,
1036,38,24,19,19,1.302,5,5,5,5,3,2,50,189.8073193,Pastel,,,
1037,36,24,20,20,1.291,5,5,4,5,3,3,50,192.5392905,Pastel,,,
1038,34,24,21,21,1.281,5,5,5,5,2,3,50,195.2285603,MId,,,
1039,40,26,14,20,1.323,5,5,3,4,4,2,55,193.6253382,Tint,,,
1040,36,26,19,19,1.302,5,5,5,5,3,3,50,194.7593317,Pastel,,,
1041,34,26,20,20,1.291,5,5,5,5,3,3,50,197.452173,Pastel,,,
1042,32,26,21,21,1.281,5,5,5,5,3,3,50,200.1029265,Pastel,,,
1043,40,28,13,19,1.334,4,5,2,4,4,2,55,195.649155,Tint,,,
1044,38,28,14,20,1.323,5,5,3,4,4,3,55,198.6588991,Tint,,,
1045,34,28,19,19,1.301,5,5,3,5,3,3,50,199.7108825,Pastel,,,
1046,32,28,20,20,1.291,5,5,3,5,3,3,50,202.3646012,Pastel,,,
1047,30,28,21,21,1.281,5,5,3,5,3,3,50,204.9768454,Pastel,,,
1048,36,30,14,20,1.323,5,5,3,4,4,2,55,203.6919831,Tint,,,
1049,32,30,15,23,1.302,5,5,3,5,4,3,55,209.4885041,Tint,,,
1050,30,30,20,20,1.291,5,5,3,5,3,3,55,207.2765752,Pastel,,,
1051,28,30,21,21,1.281,5,5,2,5,3,3,55,209.8503173,Pastel,,,
1052,32,36,13,19,1.333,4,5,5,4,5,2,55,215.9424421,White,,,
1053,34,34,13,19,1.334,4,5,4,4,5,2,55,210.869847,White,,,
1054,30,32,15,23,1.302,5,5,3,5,4,3,55,214.44115,Tint,,,
1055,28,32,20,20,1.291,5,5,2,5,3,3,55,212.1880951,Pastel,,,
1056,26,32,21,21,1.281,5,5,2,5,3,4,55,214.7233421,Pastel,,,
1057,36,32,13,19,1.334,4,5,3,4,5,2,55,205.7967675,White,,,
1058,26,40,14,20,1.323,5,5,5,5,5,3,55,228.8502528,White,,,
1059,28,34,15,23,1.302,5,5,3,5,4,4,55,219.3933342,Tint,,,
1060,26,34,16,24,1.292,5,5,3,5,4,4,50,222.1452282,Tint,,,
1061,24,34,21,21,1.281,5,5,2,5,3,4,55,219.59592,Pastel,,,
1062,34,32,14,20,1.323,5,5,2,5,5,2,55,208.7245903,White,,,
1063,32,34,14,20,1.323,5,5,4,5,5,3,55,213.7567208,White,,,
1064,26,36,15,23,1.302,5,5,3,5,4,5,55,224.3450568,Tint,,,
1065,24,36,16,24,1.292,6,5,3,5,4,5,55,227.05793,Tint,,,
1066,22,36,17,25,1.282,6,5,3,5,4,5,50,229.7285184,Tint,,,
1067,22,40,15,23,1.302,5,5,5,5,5,3,55,234.2471173,White,,,
1068,28,40,13,19,1.333,4,5,5,4,5,3,55,226.0861794,White,,,
1069,30,36,14,20,1.323,5,5,5,5,5,3,55,218.7883747,White,,,
1070,20,40,16,24,1.291,6,5,3,5,4,5,50,236.8819705,Tint,,,
1071,18,40,17,25,1.281,6,5,3,5,4,5,50,239.4757588,Tint,,,
1074,18,40,17,25,1.281,6,5,3,5,4,5,50,239.4757588,Tint,1313131313,,